geneid,1,2,3,1-3ave,4,5,6,4-6ave,8,9,8-9ave,10,11,12,10-12ave,13,log2(4-6ave/1-3ave),log2(10-12ave/8-9ave)
ARSA,58.30183766,57.24307619,59.25885353,58.26792246,45.1889118,43.28956637,40.10929845,42.86259221,29.42538496,26.02414109,27.72476303,21.69242806,23.83369023,27.8903635,24.4721606,52.55650971,-0.442982761,-0.180033643
ARSB,25.38896813,24.90568747,26.39724092,25.56396551,20.56537243,17.48675198,20.85045292,19.63419244,1.536181574,1.409347817,1.472764696,1.638664451,1.908644211,1.481505271,1.676271311,21.19659137,-0.380743368,0.186728606
ARSD,7.749333552,7.590242317,7.410416208,7.583330692,5.990905519,4.794764001,5.514441582,5.433370367,0,0,0,0,0,0,0,7.32627021,-0.48098417,0
ARSE,1.805952064,2.090614085,2.45694828,2.117838143,2.323821733,1.978927363,1.853248548,2.051999214,0,0,0,0,0,0,0,1.226717917,-0.045562134,0
ARSF,0,0,0.065475547,0.021825182,0,0,0,0,0,0.056754323,0.028377161,0,0,0,0,0,-14.41377218,-14.7924935
ARSG,0.204570789,0.144226363,0.197172149,0.181989767,0.219530162,0.247038667,0.394987119,0.287185316,0.156391678,0.056969726,0.106680702,0.103546549,0.162498529,0.079073475,0.115039517,0.346809989,0.658121749,0.108829324
ARSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARSI,19.13822625,19.61648397,19.2469666,19.33389227,7.907022805,7.89337284,9.550737801,8.450377815,81.57864638,77.40900729,79.49382684,80.90217125,80.68879599,81.89675358,81.1625736,10.48227623,-1.194044261,0.029971781
ARSJ,49.49066693,42.67639677,51.65478617,47.94061662,36.14410435,26.38138695,34.88589793,32.47046308,4.103792399,3.69474391,3.899268154,4.638969892,4.13032356,3.694380053,4.154557835,33.49614957,-0.562120491,0.091491545
ARSK,15.61784641,15.70886087,15.08645234,15.47105321,14.95822115,11.93570699,14.20304188,13.69899001,6.089215486,6.379006958,6.234111222,5.375539627,6.451048448,5.221850802,5.682812959,14.77899191,-0.17550187,-0.13357864
ART1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ART3,0,0.048302779,0.088046434,0.045449738,0.055142052,0.035458113,0,0.030200055,0,0,0,0,0,0,0,0,-0.589704762,0
ART4,0,0,0,0,0.034416536,0,0,0.011472179,0,0,0,0,0,0,0,0,13.48597753,0
ASAH1,15.04658196,15.52682113,16.74116657,15.77152322,15.05709351,14.51195541,15.84449939,15.13784944,13.09628775,13.57584954,13.33606864,11.60940936,11.17649198,11.36347487,11.38312541,15.8680875,-0.059161736,-0.228436691
ASAH2,0.606302717,1.133403786,0.847048291,0.862251598,1.55266125,1.381135363,1.340931791,1.424909468,0.424006722,0.340249681,0.382128202,0.707937451,0.503501167,0.782963248,0.664800622,1.159537432,0.724688797,0.798863392
ASAH2B,2.172967562,2.54631157,2.097566396,2.272281842,4.416173227,3.900151129,4.123743096,4.14668915,1.05532038,0.96711402,1.0112172,1.819321827,1.111307009,1.510138915,1.480255917,2.922302085,0.867817825,0.54975326
ASGR1,0.462249203,0.422456,0.269518873,0.384741359,0.723408407,0.558209838,0.485924789,0.589181011,0,0.033374207,0.016687103,0.045495005,0,0,0.015165002,0.831147788,0.614820709,-0.137979216
ASGR2,0,0,0,0,0,0,0,0,0,0.100471106,0.050235553,0,0,0,0,0,0,-15.61644986
ATP6AP1,89.19533535,91.81183315,92.6302026,91.21245704,102.2209454,95.97920092,96.39478281,98.19830972,90.93453611,93.61000358,92.27226985,87.98085651,85.15934355,88.32919599,87.15646535,80.87632968,0.106467322,-0.082289457
ATP6AP2,42.88989225,44.73503247,48.3643482,45.32975764,42.08808271,42.10359334,42.21088935,42.13418847,18.73615861,20.85647747,19.79631804,21.31440988,21.03327581,20.00886252,20.78551607,52.15798972,-0.105467107,0.070346439
ATP6V0A2,5.21599635,5.13218344,5.097926359,5.14870205,8.847534046,7.721123453,8.36685803,8.311838509,3.920565314,4.036224898,3.978395106,5.328214343,5.76939018,5.387259894,5.494954806,5.354894681,0.690958733,0.465920954
ATP6V1A,42.55287753,44.93917289,46.18984573,44.56063205,58.56060149,48.53182965,61.90005225,56.3308278,42.92299936,47.15737698,45.04018817,51.08810602,51.38767309,52.82180186,51.76586033,49.10548586,0.33815497,0.200788093
ATP6V1E1,69.3411542,73.59788535,73.18739204,72.04214386,101.4640199,111.9254751,100.8878326,104.7591092,114.0559774,115.3117084,114.6838429,134.5223279,135.7728833,135.3628156,135.2193422,72.99699494,0.540162672,0.237639379
ATRN,36.22179053,33.48347743,37.83698175,35.84741657,31.80209033,21.92374328,32.69688303,28.80757221,42.86905751,43.0007267,42.93489211,62.33850028,62.50610887,61.88635424,62.24365446,29.44431326,-0.31542106,0.53577619
ATRNL1,0.503017983,0.588789028,0.60913974,0.56698225,1.053651009,0.78266567,0.810604873,0.882307184,0.012941608,0,0.006470804,0.017137214,0,0,0.005712405,0.396567479,0.637976551,-0.179817185
B3GALNT1,0.966417252,1.400538089,0.689974206,1.018976516,0.475331609,0.44458692,0.746386848,0.555435126,1.693113769,1.255948876,1.474531322,1.589791031,2.156766868,1.743245927,1.829934609,0.794362428,-0.875429299,0.311535437
B3GALNT2,12.82890614,10.82975069,12.65416565,12.10427416,13.85307222,8.296439669,14.87513734,12.34154974,10.09465839,10.68346875,10.38906357,13.78595995,14.18624694,14.40988925,14.12736538,11.54565632,0.028006994,0.443426784
B3GALT1,1.398221666,0.870322389,1.501438864,1.256660973,1.348393128,1.186503343,1.30242234,1.27910627,0,0.024555659,0.01227783,0,0,0.025562278,0.008520759,1.426907039,0.025540624,-0.526949823
B3GALT2,1.528719893,0.725426889,0.837463041,1.030536607,0.110418844,0.071002867,0.198669835,0.126697182,0.078661575,0.038206025,0.0584338,0.052081637,0,0.079544438,0.043875358,0.190295779,-3.023929429,-0.413384019
B3GALT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3GALT5,0.295762587,0.254329192,0.221717879,0.257269886,0.34083403,0.137994188,0.299807058,0.259545092,0.071943012,0.139771244,0.105857128,0.011908323,0.021357793,0.045469043,0.026245053,0.145035357,0.01270256,-2.011959667
B3GALT6,47.85183907,52.17907678,51.34826751,50.45972779,44.99634541,44.78387314,40.92999322,43.57007059,20.48597697,21.32156716,20.90377207,27.49074456,29.37674483,25.57119226,27.47956055,43.21669411,-0.211794968,0.394595618
B3GAT1,0,0,0,0,0,0,0,0,0.022541619,0,0.011270809,0.044774253,0.040151715,0.011397308,0.032107759,0,0,1.510247762
B3GAT2,0.029322332,0.217064521,0.021981433,0.089456095,0.110132915,0.088523757,0.099077691,0.099244788,0.039228941,0.019053546,0.029141243,0.077920158,0.209626815,0,0.095848991,0.031633835,0.149809955,1.717666362
B3GAT3,45.42962831,48.25742033,48.91497961,47.53400942,69.8306413,74.29637039,67.24122932,70.45608034,29.9117442,30.24126506,30.07650463,35.25480646,37.15714913,40.22268684,37.54488081,47.7278744,0.56776411,0.31997929
B3GLCT,12.35278712,12.44914732,14.00098348,12.93430597,11.67825579,9.953261478,11.33933971,10.99028566,5.950560358,7.369311402,6.65993588,6.199197618,7.133172926,6.673266163,6.668545569,11.87110583,-0.23497374,0.001863852
B3GNT2,24.2224399,23.24408729,26.32954592,24.59869103,29.25196248,27.0164543,31.82883798,29.36575159,25.74479794,24.87739744,25.31109769,21.63475928,22.34073619,22.98433892,22.3199448,19.67152412,0.255553005,-0.181436609
B3GNT3,0.167319524,0.137624084,0.062715387,0.122552998,0.157110515,0.050513556,0.056535857,0.088053309,12.8153414,11.36161852,12.08847996,16.97001256,17.61036314,17.6561688,17.4121815,0,-0.476952037,0.526464079
B3GNT4,0.041045013,0.03376045,0.030769319,0.035191594,0.154162599,0.049565754,0.138687642,0.114138665,0.521665451,0.693443435,0.607554443,0.872572857,0.782487584,0.943983865,0.866348102,0,1.697456472,0.511932418
B3GNT5,0.260136639,0.233419915,0.23046749,0.241341348,0.866028285,0.628279421,0.575332221,0.689879976,10.55146458,10.12678397,10.33912428,12.90385895,11.98492526,11.64569659,12.17816027,0.561286831,1.515266393,0.236182189
B3GNT6,0,0,0.054953582,0.018317861,0,0,0,0,0,0,0,0.064933465,0,0,0.021644488,0,-14.16104215,14.40177873
B3GNT7,0,0.041601815,0.11374785,0.051783222,0.189969151,0.122156272,0.170899905,0.161008443,11.70627255,12.48893337,12.09760296,10.08038302,9.079850784,10.70863338,9.956289062,0.054565456,1.636560813,-0.28104117
B3GNT8,4.930658167,3.379648001,3.465242652,3.92518294,2.025543539,2.729025873,2.360206118,2.371591843,9.619882461,10.54624937,10.08306592,10.46385117,10.03632188,11.4649682,10.65504708,1.883934986,-0.726903914,0.07960258
B3GNT9,116.3453759,123.2712416,122.8375129,120.8180434,101.3768388,96.66715354,105.1147725,101.0529216,28.69381171,29.54563502,29.11972336,42.32192733,41.41233499,42.85419097,42.1961511,82.94229974,-0.257724893,0.535114745
B3GNTL1,4.581364456,5.284776816,7.12012128,5.662087517,6.583901821,4.790277285,5.569040386,5.647739831,0.373730948,0.453803974,0.413767461,0.791828317,0.488179443,1.13377662,0.804594793,5.304164622,-0.003660417,0.959440514
B4GALNT1,13.71056281,14.00752821,14.02870246,13.91559783,19.85308183,17.0941775,20.36755301,19.10493745,1.544648734,1.078466873,1.311557804,5.326604993,5.044175243,4.685955582,5.018911939,17.38635578,0.457242616,1.936092428
B4GALNT2,0,0,0.016104018,0.005368006,0,0,0,0,0.028739872,0.013958992,0.021349432,0,0,0.014531218,0.004843739,0.023175553,-12.3904393,-2.139774319
B4GALNT3,0.028032782,0.046115191,0.042029447,0.038725807,0.05264472,0.016926124,0.056832245,0.042134363,9.450935639,7.905570536,8.678253088,11.74511825,10.53254079,12.93230159,11.73665354,0.060485256,0.121699012,0.435544504
B4GALNT4,0.051183492,0,0,0.017061164,0,0.030904465,0.034588941,0.021831135,0.650521394,0.49888272,0.574702057,1.088106008,0.609855552,1.038667202,0.912209587,0.055218327,0.355652617,0.666550191
B4GALT1,275.2597015,276.4185207,284.7589644,278.8123955,202.8475943,160.4381559,192.8375111,185.3744204,74.67077995,72.12702026,73.39890011,71.35826103,68.35916218,74.31325095,71.34355805,214.3712565,-0.588852518,-0.040975276
B4GALT2,152.8475165,157.1611583,149.0138042,153.007493,126.0305812,134.1964534,123.1224172,127.7831506,32.73845948,35.28421663,34.01133805,54.47267,57.88893765,49.29637902,53.88599556,126.0261547,-0.259904688,0.663894599
